structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.42235786798985414	-26.742140464904672	C6H12N4	[M + H]+	VKYKSIONXSXAKP	InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2	Ammoform	C1N2CN3CN1CN(C2)C3	0.300000012	4101;5257060;5259712;6918941;10749368;12224934;12224935;10866437;67630613;71309860	HMDB:(29598);PubChem class - food;SuperNatural:(SN00332653 SN00024365);ZINC bio:(ZINC19230153);additional;HSDB:(100-97-0);MeSH:(4101);PubMed;NORMAN:(NS00006016);COCONUT:(CNP0045159 CNP0145202);Natural Products:(UNPD3240);PubChem:(4101 5257060 5259712 6918941 10749368 12224934 12224935 10866437 67630613 71309860);CHEBI:(6824);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubChem class - drug	255648366
2	1	N/A	-80.21262609082638	C6H12N4	[M + H]+	MIRBNMHPBREORL	InChI=1S/C6H12N4/c1-8-6(9(2)3)10(4)5-7/h1-4H3	null	CN=C(N(C)C)N(C)C#N	0.0	57582513	PubChem:(57582513)	2
3	1	N/A	-90.86998423614189	C6H12N4	[M + H]+	YGQZVYGZSCVMMN	InChI=1S/C6H12N4/c1-7-2-8(1)6-10-3-9(4-10)5-7/h1-6H2	1,3,5,7-Tetraazatricyclo[5.1.1.13,5]decane	C1N2CN1CN3CN(C3)C2	0.300000012	18518169	PubChem:(18518169)	2
4	1	N/A	-101.09719730895058	C6H12N4	[M + H]+	LLBAGYXDXZXANF	InChI=1S/C6H12N4/c1-9(2)6(8-5-7)10(3)4/h1-4H3	2-cyano-1,1,3,3-tetramethylguanidine	CN(C)C(=NC#N)N(C)C	0.100000001	288430;88722662	PubChem:(288430 88722662)	2
5	1	N/A	-116.32292809533307	C6H12N4	[M + H]+	WPBMBHJUUSYIKL	InChI=1S/C6H12N4/c1-7-5-9(3)6(8-2)10(5)4/h1-4H3	2-N,4-N,1,3-tetramethyl-1,3-diazetidine-2,4-diimine	CN=C1N(C(=NC)N1C)C	-0.100000001	18740086	PubChem:(18740086)	2
6	1	N/A	-119.01488846842992	C6H12N4	[M + H]+	YKXMAYGVUWYJPZ	InChI=1S/C6H12N4/c1-7-4-10(5-8-2)6-9-3/h1-6H2	null	C=NCN(CN=C)CN=C	3.9000001	54513700	PubChem:(54513700)	2
7	1	N/A	-119.02199640721133	C6H12N4	[M + H]+	SDZUNADYYLWLBP	InChI=1S/C6H12N4/c1-2-9-5-8-3-7(1)4-10(9)6-8/h1-6H2	null	C1CN2CN3CN1CN2C3	0.300000012	89965574	PubChem:(89965574)	2
8	1	N/A	-120.60978963010187	C6H12N4	[M + H]+	PRBUFBQQLCYDHF	InChI=1S/C6H12N4/c1-7-8-6(9(2)3)10(4)5/h2-5H3	2-isocyano-1,1,3,3-tetramethylguanidine	CN(C)C(=N[N+]#[C-])N(C)C	0.100000001	58662185	PubChem:(58662185)	2
9	1	N/A	-123.19931424546719	C6H12N4	[M + H]+	XJOYHUCZZFVFOL	InChI=1S/C6H12N4/c1-2-4-6-8-10-9-7-5-3-1/h1-6H2	null	C1CCCN=NN=NCC1	2.0	68500237	PubChem:(68500237)	2
10	1	N/A	-125.11945087200252	C6H12N4	[M + H]+	STJJKVRVTSRION	InChI=1S/C6H12N4/c1-4-8-6(9-5-7)10(2)3/h4H2,1-3H3,(H,8,9)	3-cyano-2-ethyl-1,1-dimethylguanidine	CCN=C(NC#N)N(C)C	0.100000001	59020863	PubChem:(59020863)	2
