formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C3H5N4O6P3S	[M + Na]+	C3H5N4O6P3S	26.820291020261372	26.820291020261372	0.0	11	0.5154620845493446	2.1293439786573707	2.276401026144221	4.794676916415716	
2	C2H4N6O5P2S2	[M + Na]+	C2H4N6O5P2S2	25.47715764692842	25.47715764692842	0.0	11	0.5154620845493446	-0.1349811506841676	2.276401026144221	-0.2440212412001497	
3	C8H3N2O6PS2	[M + Na]+	C8H3N2O6PS2	20.14590097345939	20.14590097345939	0.0	7	0.4747421540178749	-1.7403950666252448	1.7403950666252448	-3.2711333009975125	
4	C5HN4O5P3S	[M + H2O + H]+	C5H3N4O6P3S	18.91638974807666	18.91638974807666	0.0	7	0.3401199077781824	2.8562584808588296	2.8562584808588296	-2.2620900810031848	
4	C5H3N4O6P3S	[M + H]+	C5H3N4O6P3S	18.916389748076657	18.916389748076657	0.0	8	0.3629010166994607	2.4052704356281063	2.4052704356281063	-2.2620900810031848	
4	C5H5N4O7P3S	[M - H2O + H]+	C5H3N4O6P3S	18.916389748076657	18.916389748076657	0.0	9	0.3629010166994607	2.4052704356281063	2.4052704356281063	-52833.86721235072	
5	C4H6N3O6P2S2	[M + Na]+	C4H6N3O6P2S2	18.014294326764904	18.014294326764904	0.0	7	0.4747421540178749	-3.5541583471629528	3.5541583471629528	-4.1826068512019035	
6	C5H7N2O7PS2	[M + K]+	C5H7N2O7PS2	14.632222314600275	14.632222314600275	0.0	8	0.48043446393659983	1.7371915755227894	1.8513543379368413	-3.717439299522128	
7	C6H9NO4PS4	[M + Na]+	C6H9NO4PS4	14.4127761372657	14.4127761372657	0.0	10	0.5108022534926517	-1.5227290955456547	1.5314157477491377	2.0413360452508202	
8	C7H4N4O4P2S	[M + K]+	C7H4N4O4P2S	14.405537803271036	14.405537803271036	0.0	7	0.35638780155385924	1.9565574721750796	2.0186395026730564	-2.6018033715163784	
9	C9H4O7P2S	[M + Na]+	C9H4O7P2S	14.390125788484928	14.390125788484928	0.0	7	0.2514156910866405	-1.9265872341062122	1.9265872341062122	1.7675648562848671	
10	C3H8N2O10P2S2	[M - H2O + H]+	C3H6N2O9P2S2	14.321350109897542	14.321350109897542	0.0	8	0.35742028041589147	1.612184625325854	1.9090598119000846	-52834.98284827906	
10	C3H4N2O8P2S2	[M + H2O + H]+	C3H6N2O9P2S2	14.321350109897542	14.321350109897542	0.0	6	0.33463917149461325	2.58842384672716	2.58842384672716	-3.377726009175677	
10	C3H6N2O9P2S2	[M + H]+	C3H6N2O9P2S2	14.321350109897542	14.321350109897542	0.0	7	0.35742028041589147	1.612184625325854	1.9090598119000846	-3.377726009175677	
10	C3H3NO9P2S2	[M + H3N + H]+	C3H6N2O9P2S2	9.687205485074676	9.687205485074676	0.0	6	0.3459857712246986	0.6359454039245481	1.2296957770730088	-3.377726009175677	
11	C5N3O6P3S	[M + H3N + H]+	C5H3N4O6P3S	-3.2788938326290324	-3.2788938326290324	0.0	3	0.0318862401379248	5.039061369998041	5.039061369998041	-2.2620900810031848	
